bin,lo,hi,count,confidence,empirical_rate,gap,signed_gap,ece_contribution
1,0.0,0.1,113,0.020128843575699194,0.008849557522123894,0.0112792860535753,0.0112792860535753,0.002042563019317322
2,0.1,0.2,17,0.1448035401481164,0.11764705882352941,0.02715648132458698,0.02715648132458698,0.0007398400360865042
3,0.2,0.30000000000000004,17,0.24148922569412862,0.058823529411764705,0.1826656962823639,0.1826656962823639,0.0049764692897438885
4,0.30000000000000004,0.4,9,0.35413226134514253,0.1111111111111111,0.24302115023403142,0.24302115023403142,0.0035051127437600686
5,0.4,0.5,7,0.4593354534853588,0.0,0.4593354534853588,0.4593354534853588,0.005152801561534474
6,0.5,0.6000000000000001,9,0.5366160940982455,0.3333333333333333,0.2032827607649122,0.2032827607649122,0.0029319628956477723
7,0.6000000000000001,0.7000000000000001,9,0.6426026084044666,0.1111111111111111,0.5314914972933555,0.5314914972933555,0.007665742749423398
8,0.7000000000000001,0.8,9,0.7538983175294605,0.5555555555555556,0.19834276197390488,0.19834276197390488,0.0028607129130851666
9,0.8,0.9,20,0.8603765126016283,0.25,0.6103765126016283,0.6103765126016283,0.0195633497628727
10,0.9,1.0,414,0.9939391886184107,0.8961352657004831,0.09780392291792761,0.09780392291792761,0.06488914116670197
