bin,lo,hi,count,confidence,empirical_rate,gap,signed_gap,ece_contribution,method
1,0.0,0.1,112,0.024892330723170226,0.008928571428571428,0.015963759294598798,0.015963759294598798,0.002865290129799784,raw_uncalibrated
2,0.1,0.2,15,0.1499454955259959,0.13333333333333333,0.016612162192662566,0.016612162192662566,0.00039933082193900404,raw_uncalibrated
3,0.2,0.30000000000000004,18,0.24417349861727822,0.05555555555555555,0.18861794306172266,0.18861794306172266,0.0054409022037035385,raw_uncalibrated
4,0.30000000000000004,0.4,10,0.3500411570072174,0.1,0.2500411570072174,0.2500411570072174,0.004007069823833612,raw_uncalibrated
5,0.4,0.5,8,0.4550451338291168,0.0,0.4550451338291168,0.4550451338291168,0.005833911972168164,raw_uncalibrated
6,0.5,0.6000000000000001,10,0.5403222560882568,0.3,0.2403222560882568,0.2403222560882568,0.0038513182065425767,raw_uncalibrated
7,0.6000000000000001,0.7000000000000001,8,0.6361128613352776,0.125,0.5111128613352776,0.5111128613352776,0.006552728991477917,raw_uncalibrated
8,0.7000000000000001,0.8,9,0.7373733851644728,0.5555555555555556,0.18181782960891724,0.18181782960891724,0.0026223725424363064,raw_uncalibrated
9,0.8,0.9,23,0.8489440368569415,0.30434782608695654,0.544596210769985,0.544596210769985,0.020073257768765472,raw_uncalibrated
10,0.9,1.0,411,0.9928908957182055,0.8978102189781022,0.09508067674010334,0.09508067674010334,0.0626252534297796,raw_uncalibrated
1,0.0,0.1,113,0.020128843575699194,0.008849557522123894,0.0112792860535753,0.0112792860535753,0.002042563019317322,temperature_scaling
2,0.1,0.2,17,0.1448035401481164,0.11764705882352941,0.02715648132458698,0.02715648132458698,0.0007398400360865042,temperature_scaling
3,0.2,0.30000000000000004,17,0.24148922569412862,0.058823529411764705,0.1826656962823639,0.1826656962823639,0.0049764692897438885,temperature_scaling
4,0.30000000000000004,0.4,9,0.35413226134514253,0.1111111111111111,0.24302115023403142,0.24302115023403142,0.0035051127437600686,temperature_scaling
5,0.4,0.5,7,0.4593354534853588,0.0,0.4593354534853588,0.4593354534853588,0.005152801561534474,temperature_scaling
6,0.5,0.6000000000000001,9,0.5366160940982455,0.3333333333333333,0.2032827607649122,0.2032827607649122,0.0029319628956477723,temperature_scaling
7,0.6000000000000001,0.7000000000000001,9,0.6426026084044666,0.1111111111111111,0.5314914972933555,0.5314914972933555,0.007665742749423398,temperature_scaling
8,0.7000000000000001,0.8,9,0.7538983175294605,0.5555555555555556,0.19834276197390488,0.19834276197390488,0.0028607129130851666,temperature_scaling
9,0.8,0.9,20,0.8603765126016283,0.25,0.6103765126016283,0.6103765126016283,0.0195633497628727,temperature_scaling
10,0.9,1.0,414,0.9939391886184107,0.8961352657004831,0.09780392291792761,0.09780392291792761,0.06488914116670197,temperature_scaling
1,0.0,0.1,89,0.02000205802997884,0.0,0.02000205802997884,0.02000205802997884,0.0028528576356860844,platt_scaling
2,0.1,0.2,23,0.13846196125263519,0.043478260869565216,0.09498370038306997,0.09498370038306997,0.0035010017769400792,platt_scaling
3,0.2,0.30000000000000004,11,0.2652259070304718,0.18181818181818182,0.08340772521228995,0.08340772521228995,0.001470328489319214,platt_scaling
4,0.30000000000000004,0.4,6,0.3615651018118824,0.0,0.3615651018118824,0.3615651018118824,0.003476587517421946,platt_scaling
5,0.4,0.5,14,0.44697167672277904,0.0,0.44697167672277904,0.44697167672277904,0.010028210695703376,platt_scaling
6,0.5,0.6000000000000001,8,0.5568690299238885,0.25,0.30686902992388854,0.30686902992388854,0.003934218332357545,platt_scaling
7,0.6000000000000001,0.7000000000000001,8,0.6555027242140538,0.0,0.6555027242140538,0.6555027242140538,0.008403881079667356,platt_scaling
8,0.7000000000000001,0.8,11,0.7580607134357552,0.2727272727272727,0.4853334407084825,0.4853334407084825,0.00855555744838671,platt_scaling
9,0.8,0.9,13,0.849530894529681,0.15384615384615385,0.6956847406835271,0.6956847406835271,0.014493432097573481,platt_scaling
10,0.9,1.0,441,0.9949415742118941,0.8616780045351474,0.13326356967674668,0.13326356967674668,0.09418146510808541,platt_scaling
1,0.0,0.1,84,0.0157015062092493,0.0,0.0157015062092493,0.0157015062092493,0.002113664297398944,isotonic_regression
2,0.1,0.2,37,0.14485530071967356,0.08108108108108109,0.06377421963859248,0.06377421963859248,0.003781484177288336,isotonic_regression
3,0.2,0.30000000000000004,3,0.2301536351442337,0.0,0.2301536351442337,0.2301536351442337,0.0011065078612703544,isotonic_regression
4,0.30000000000000004,0.4,3,0.3593036433060964,0.0,0.3593036433060964,0.3593036433060964,0.0017274213620485403,isotonic_regression
5,0.4,0.5,25,0.4017794454097748,0.08,0.32177944540977477,0.32177944540977477,0.01289180470391726,isotonic_regression
6,0.5,0.6000000000000001,0,,,,,0.0,isotonic_regression
7,0.6000000000000001,0.7000000000000001,4,0.6678069233894348,0.0,0.6678069233894348,0.6678069233894348,0.004280813611470736,isotonic_regression
8,0.7000000000000001,0.8,1,0.7964663505554199,0.0,0.7964663505554199,0.7964663505554199,0.0012763883823003524,isotonic_regression
9,0.8,0.9,32,0.8140596356242895,0.25,0.5640596356242895,0.5640596356242895,0.028926135160219975,isotonic_regression
10,0.9,1.0,435,1.0,0.8666666666666667,0.1333333333333333,0.1333333333333333,0.09294871794871792,isotonic_regression
