threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,false_negatives,false_positives,tp,tn
0.1,0.6842948717948718,0.57991452991453,0.6649572649572649,0.9974358974358974,0.1623931623931624,1,196,389,38
0.15000000000000002,0.7259615384615384,0.6363247863247863,0.696588868940754,0.9948717948717949,0.2777777777777778,2,169,388,65
0.2,0.7548076923076923,0.6773504273504274,0.7223264540337712,0.9871794871794872,0.36752136752136755,5,148,385,86
0.25,0.780448717948718,0.714957264957265,0.7485265225933202,0.9769230769230769,0.452991452991453,9,128,381,106
0.30000000000000004,0.7964743589743589,0.7414529914529915,0.7700205338809035,0.9615384615384616,0.5213675213675214,15,112,375,122
0.35,0.8108974358974359,0.7666666666666666,0.7931034482758621,0.9435897435897436,0.5897435897435898,22,96,368,138
0.4,0.8205128205128205,0.7837606837606838,0.8102678571428571,0.9307692307692308,0.6367521367521367,27,85,363,149
0.45000000000000007,0.8301282051282052,0.7982905982905983,0.8242009132420092,0.9256410256410257,0.6709401709401709,29,77,361,157
0.5,0.842948717948718,0.8196581196581196,0.8476190476190476,0.9128205128205128,0.7264957264957265,34,64,356,170
0.55,0.8509615384615384,0.8346153846153846,0.8666666666666667,0.9,0.7692307692307693,39,54,351,180
0.6,0.8621794871794872,0.8564102564102565,0.8979057591623036,0.8794871794871795,0.8333333333333334,47,39,343,195
0.65,0.8573717948717948,0.8602564102564103,0.9168975069252078,0.8487179487179487,0.8717948717948718,59,30,331,204
0.7000000000000001,0.8493589743589743,0.8615384615384616,0.9378698224852071,0.8128205128205128,0.9102564102564102,73,21,317,213
0.75,0.8317307692307693,0.8517094017094018,0.9495268138801262,0.7717948717948718,0.9316239316239316,89,16,301,218
0.8,0.8189102564102564,0.8474358974358974,0.9694915254237289,0.7333333333333333,0.9615384615384616,104,9,286,225
0.85,0.7932692307692307,0.8303418803418803,0.981549815498155,0.6820512820512821,0.9786324786324786,124,5,266,229
0.9,0.7339743589743589,0.7846153846153847,0.9869565217391304,0.5820512820512821,0.9871794871794872,163,3,227,231
