y_true,p_raw,p_calibrated,p_mc_calibrated_mean,mc_std,predictive_entropy,raw_prediction,calibrated_prediction
1,0.9999767,0.9999905850969842,0.999839548380006,0.00036823074162825993,0.002254048957646064,1,1
0,0.9923108,0.9948990645228866,0.966793257729755,0.0634123610761048,0.21022696414789632,1,1
1,0.986271,0.9904122908397579,0.9623481790713516,0.04692494406668112,0.23142029450619025,1,1
0,0.00020401299,9.911195501278636e-05,0.0015634800663358454,0.0025579815268321295,0.016827095082212636,0,0
1,0.99999535,0.9999983622818138,0.9997947045968768,0.0006090690948183778,0.0028110192138444284,1,1
1,0.9999997,0.9999999168756875,0.9999889941339488,3.118900251283152e-05,0.00019715968867316087,1,1
1,0.9997872,0.9998962536352836,0.9995610806292554,0.0008897593173456701,0.00552868756853396,1,1
1,0.99999887,0.9999996461829614,0.9999506600834338,0.00021572279715146976,0.0007770812188617755,1,1
1,0.9976563,0.9985974775791682,0.9949862141128415,0.007740183724552913,0.04551994244794917,1,1
0,0.9912089,0.9940989530148949,0.9464206552095533,0.06946847309916744,0.30141143926409525,1,1
1,0.99999964,0.9999998986934053,0.9999782453052829,6.238960859494696e-05,0.0003683285850772549,1,1
1,0.9996538,0.9998240768997433,0.9976331362500946,0.006824763341344928,0.02405631554908221,1,1
1,0.99785507,0.9987261738084359,0.9899703740320069,0.016291218545601976,0.08098947311332999,1,1
1,0.99999994,0.9999999745798132,0.999994184059521,1.3602435860134251e-05,0.00010953885899675466,1,1
1,0.99377376,0.9959451957443975,0.9526313808551167,0.07539179628557308,0.27511209460651453,1,1
1,0.9971057,0.9982362550942072,0.9902266948756051,0.014993942534913964,0.07928652189957718,1,1
1,0.99995804,0.9999821795353085,0.9996179789151549,0.00221218814523926,0.004888524999285717,1,1
1,0.9152443,0.9296684514413889,0.8320718816966637,0.13917050610017578,0.6529431737267039,1,1
1,0.9998551,0.9999316258119406,0.9993296197828994,0.001812840598359363,0.008034469467554508,1,1
0,0.020605737,0.01492791077167974,0.03207577687783326,0.039678219670312126,0.20469727346198213,0,0
0,0.0003689322,0.00018850230499864839,0.0009586118970869558,0.0016368220128401608,0.010994098276123396,0,0
1,0.9999884,0.9999955741570669,0.9997814365240975,0.00035915274548786524,0.002972943547164287,1,1
1,0.8857451,0.9022099895985024,0.6807225353950911,0.25242549606674913,0.90359399601144,1,1
1,0.9907424,0.9937573886899735,0.9550951301849534,0.06320309465572663,0.26434559527672224,1,1
1,0.99762034,0.9985741043174178,0.9940764691490938,0.0080574108145681,0.05235062884093929,1,1
0,0.0033456627,0.0020644669719266716,0.007267316114584045,0.01638673871544126,0.06207597283300286,0,0
1,0.99997723,0.9999908199948455,0.9996213774045909,0.001630267290488594,0.004849918337380557,1,1
0,0.0104658,0.007134303731240152,0.02516802853718542,0.03054504509715574,0.16954819618013126,0,0
0,0.90341794,0.9187719715062059,0.718670565944797,0.1980854209486145,0.8572559397864269,1,1
1,0.99999595,0.9999985887952267,0.9997986573569321,0.0009411870873156792,0.00276254376403535,1,1
0,0.9608379,0.9698811635658157,0.7745140580945759,0.1966649997963145,0.7700589048585759,1,1
1,0.9989976,0.9994422714347095,0.9933223412128295,0.009833151794183898,0.05785730098617695,1,1
1,0.99998856,0.9999956479848663,0.9997525808832157,0.0005860826587525876,0.0033211740918104005,1,1
1,0.9995121,0.9997446914464017,0.9963734286947457,0.006678404340307144,0.034623797124365516,1,1
1,0.9999992,0.999999765596704,0.9999553169769021,0.00015149209624374144,0.0007101283622094201,1,1
1,0.99949723,0.9997362528077194,0.9965319231610712,0.008073508160707628,0.03333459578719215,1,1
0,0.007319979,0.004835090238813099,0.011455035794016005,0.013228150222608951,0.09029173618197574,0,0
1,0.9982179,0.9989583437300622,0.9914675135620145,0.016210504997761752,0.07089933632643325,1,1
0,0.08473769,0.07031505964286304,0.09619281115133523,0.13536214771989238,0.45680957955743234,0,0
0,0.9661252,0.9743027742161278,0.7607916500734427,0.19993064995442336,0.7937213126573915,1,1
1,0.99999267,0.9999973155251898,0.9998950624802042,0.00027234581668652495,0.0015384681081774692,1,1
0,0.058822487,0.04705641873418958,0.08030758469454982,0.0709844008433226,0.4032620577646163,0,0
0,0.011746602,0.008089918087857384,0.013822315966213514,0.025123863794162385,0.1051813959426516,0,0
0,0.07532304,0.061760261629938605,0.10524410442109797,0.08714387380046143,0.4854019310734199,0,0
0,0.9934163,0.9956914388330217,0.9706899331276528,0.04461177174952291,0.19091998922457767,1,1
1,0.99998826,0.9999955248847844,0.999814392738685,0.0005888859819919708,0.0025684370633102358,1,1
0,0.0069511947,0.004570743261561294,0.010741293141376063,0.01339761853552522,0.08566833753838554,0,0
1,0.9999891,0.9999958688746627,0.9997512448257453,0.0010752912519581233,0.00333717539636963,1,1
1,0.98946,0.9928106086895403,0.9600892608284576,0.05690303495910766,0.24188278175420877,1,1
1,0.9999607,0.9999834120251581,0.9984768853020582,0.00336253011225121,0.01645018018133977,1,1
0,0.08791268,0.07322456937521905,0.19057533656679268,0.16574860126012314,0.7026734690905013,0,0
1,0.99975777,0.9998805879172028,0.9975219774181717,0.005310267378296272,0.025021835491051317,1,1
0,0.0048017274,0.0030571289971416614,0.011559096048312133,0.01717747063881442,0.09096028623316953,0,0
1,0.9999721,0.9999885575214092,0.9993618693631554,0.0011423689788696402,0.0076933637133446255,1,1
0,0.013526047,0.009433410615574985,0.035079566187291925,0.06562530995768173,0.21925832375953858,0,0
0,0.029839125,0.022368215164530005,0.0900027122135416,0.07664545019806328,0.4364788700145479,0,0
1,0.99945384,0.9997114605598644,0.9964482254875153,0.01245977057558001,0.034016673684108885,1,1
0,0.016131027,0.011429560821496527,0.028560480405997343,0.036568826114466095,0.18712055537282155,0,0
0,0.13492486,0.11753434574876476,0.08983706386402585,0.08777434193300927,0.4359257235280747,0,0
1,0.9998728,0.99994064074253,0.9986366273136374,0.0028822109663145155,0.014942994687256607,1,1
0,0.0038013908,0.0023717165577487732,0.007582190816871658,0.012252599241710052,0.064299869144724,0,0
0,0.92842704,0.9416154059921288,0.7086991602722698,0.19288459804304112,0.8703957038849659,1,1
0,0.07942779,0.06547640413995844,0.07910715427579489,0.0779230265345309,0.39902535325551997,0,0
1,0.9976557,0.9985970902153133,0.9895315571921457,0.024673174140362138,0.0838828627930131,1,1
1,0.9999826,0.9999931412333232,0.9998530363567248,0.0002608977228444257,0.0020831864388233612,1,1
1,0.9999822,0.9999929626568048,0.9997699712083582,0.0004781420693133005,0.0031119277223104966,1,1
0,0.023899805,0.01755122744395301,0.07756779561758179,0.08195961080224641,0.3935506440384138,0,0
0,0.9996855,0.9998414930249633,0.998444991407139,0.004624169317485587,0.016748118179994692,1,1
0,0.27469084,0.2585616471935202,0.31728975680404875,0.2268723374638449,0.9014097821642328,0,0
0,0.0022493848,0.0013413278584210185,0.0054056915217565405,0.009203858887399635,0.04848955952758299,0,0
1,0.9999618,0.9999839030472242,0.9997546094247722,0.00040782014293989634,0.003296859322700492,1,1
0,0.9992187,0.9995744322648056,0.994540819255609,0.0080282837666482,0.04889160228813935,1,1
0,0.32872024,0.3154743152892146,0.3432421975601777,0.26354450658767375,0.9278875259542139,0,0
1,0.9998492,0.9999285993293326,0.9985522708358304,0.00383863916575501,0.015742089761471616,1,1
1,0.9970193,0.9981789735546158,0.9888022020899037,0.016954556070115846,0.08863312756748686,1,1
1,0.9999004,0.9999544762863448,0.9993149870095094,0.0009931730128006856,0.00818849583749864,1,1
1,0.7277288,0.7439632543865515,0.6416205255605385,0.22625512932638517,0.9413298041535714,1,1
0,0.26346642,0.24686829708980887,0.16263357234658846,0.16579078881415021,0.6405728344861781,0,0
0,0.9349963,0.9474818423842992,0.7699820600385006,0.17689395693146723,0.7780425756175966,1,1
1,0.99981356,0.9999101149714591,0.9976626658935546,0.00652291706117706,0.02379856760170981,1,1
1,0.99994063,0.9999740334119352,0.9997049654280196,0.0007034791907352323,0.003885401903903927,1,1
1,0.9996765,0.9998365643181812,0.9981298853656029,0.0030192389881828854,0.019643689307499726,1,1
1,0.99996966,0.9999874659362817,0.9994082896131666,0.0017594272645397467,0.007198209687962914,1,1
0,0.02946706,0.022063463427215425,0.08143626809738536,0.09582808521861363,0.4072198613322568,0,0
0,0.004011866,0.0025147379912193383,0.00432090741074852,0.011275425540345335,0.040158615595086544,0,0
0,0.49934825,0.4992928712269647,0.37191607627338313,0.22684649133307383,0.9521319536965474,1,1
0,0.0009762629,0.0005419779449993291,0.004996020746702955,0.007364922084197869,0.04538430197357943,0,0
1,0.9984361,0.9990960693375481,0.9908725357281599,0.014301898010968164,0.07495164249487077,1,1
1,0.8307342,0.848902668972322,0.5067451407188088,0.23669421361343487,0.9998687196466406,1,1
0,0.0044453144,0.002811323824943203,0.007590086073722949,0.010157201481221704,0.06435538410987338,0,0
1,0.99999046,0.9999964290792921,0.9999272676040829,0.00021201828670369598,0.0011047821794242254,1,1
0,0.9983029,0.9990121731448548,0.9657362527419755,0.08347575084227497,0.2153430257307147,1,1
1,0.9999781,0.9999912104417544,0.9998230862802344,0.0003812973023508975,0.0024603804742474407,1,1
0,0.3060437,0.2914715094409358,0.12703645633463514,0.13348756342783283,0.5492542739572439,0,0
1,0.99999666,0.9999988568484547,0.9999527453275003,8.746394757711713e-05,0.0007471835305790873,1,1
1,0.9999859,0.9999945309869032,0.9995286783093108,0.001852821905654742,0.0058883893438607315,1,1
1,0.999957,0.9999817121579703,0.9990727234009207,0.0015710461242280569,0.010679202180774568,1,1
0,0.01844756,0.013230532781596261,0.021225780420734277,0.030740966968525796,0.14826871932222146,0,0
0,0.0036022798,0.002237055347194712,0.010231139638411768,0.014216599824276494,0.08232157957378007,0,0
1,0.9997225,0.9998616005194689,0.9989511913282629,0.00193303083329317,0.011892411098903741,1,1
1,0.99994045,0.9999739485395519,0.9995692531010074,0.0008204591724055517,0.00543742848370645,1,1
1,0.9996041,0.999796502891431,0.9975349494909573,0.00431240614791064,0.024909538752586422,1,1
1,0.29846582,0.2834860905426082,0.39646016366443587,0.19061324516175962,0.9688422238456724,0,0
0,0.99991685,0.9999625743789073,0.999261959749908,0.0013922549543963199,0.008742954260770278,1,1
1,0.9999117,0.9999600645206348,0.998839029027167,0.003354163549155213,0.012993946606419964,1,1
1,0.9999798,0.9999919356113509,0.9996388819341179,0.0007185523625710127,0.0046503615587811424,1,1
0,0.19263738,0.17440435684662975,0.1376182436890267,0.1167532852106705,0.57796705684078,0,0
0,0.8690401,0.8862818360135933,0.621027722409873,0.2480249350102766,0.957312938967016,1,1
1,0.9934767,0.9957343911791987,0.9868168464875261,0.021064129975731916,0.10122426052486065,1,1
0,0.38199097,0.372387527916717,0.5856623349177194,0.2244076811416151,0.9787220899189591,0,0
1,0.5017934,0.5019457749776667,0.5405573605539299,0.23003607809655194,0.995248604909256,1,1
1,0.99997044,0.9999878128881857,0.9996595388496785,0.0007192329340410949,0.004413286090509214,1,1
0,0.14806287,0.13027034887834346,0.46665384471266785,0.2075224956253698,0.9967891614188257,0,0
1,0.999944,0.9999756136399119,0.9993412189398786,0.0015768541727455656,0.00791204816813475,1,1
0,0.048521843,0.03809301153108267,0.2296580218755665,0.18945877016364607,0.7774146823607881,0,0
1,0.97494054,0.9815166233362341,0.9476477914944358,0.07281708048273089,0.29630616411736305,1,1
1,0.984624,0.9891523644571393,0.9707350170735242,0.04420212272730912,0.19069228437059202,1,1
1,0.9997512,0.9998770767083753,0.9993766267210225,0.0009096599992508809,0.00753649650797603,1,1
0,0.122088134,0.10522786895230636,0.08586971688150716,0.09540455267230227,0.42253109789465043,0,0
0,0.0043933108,0.0027756007180168274,0.01022102719568637,0.01746485451458769,0.08225487007981629,0,0
1,0.999892,0.9999502937361976,0.999539106575,0.0008920971540788241,0.005772985911895947,1,1
1,0.99979603,0.9999009122391718,0.999451761884159,0.0014548449174789505,0.006729737587489751,1,1
1,0.9967993,0.9980325160189688,0.983944846896195,0.037418036688050896,0.11867762031489018,1,1
0,0.93627256,0.948614310736394,0.8817850661328631,0.14118757713948873,0.52420788735608,1,1
1,0.99999523,0.9999983166713337,0.9998670038455192,0.0005833783730741023,0.001904362220406997,1,1
0,0.9954735,0.9971328362363013,0.9579826844729538,0.07150238255367182,0.25146625943133016,1,1
0,0.8035408,0.8217524859271917,0.5564981039733168,0.23768428419359655,0.9907700312376128,1,1
1,0.99999744,0.9999991417066255,0.9999473183411974,0.000198859824881093,0.0008247311968125306,1,1
0,0.21515413,0.19716615655953776,0.2733744757507716,0.21901863865506846,0.8462652305721966,0,0
1,0.8915323,0.9076679303662997,0.8657053753842034,0.1425267808800007,0.5690996588888129,1,1
1,0.99027157,0.9934110940449625,0.96698490990149,0.047246287941870496,0.20929400643996127,1,1
0,0.9459766,0.9571422621936341,0.9119968241472585,0.0965934651267504,0.42976932282020125,1,1
1,0.99123454,0.9941176711041989,0.956847728798605,0.05727397208615218,0.2565630923631802,1,1
0,0.9402474,0.9521255236217192,0.9083746474964985,0.13900246359477492,0.4418718890893582,1,1
1,0.78041315,0.7983203956431703,0.8112455531113395,0.18420028092521026,0.6988585755056097,1,1
1,0.9999637,0.9999847730641781,0.9997419924589696,0.0006904009143447624,0.003447705248320054,1,1
0,0.021743158,0.015829464134885025,0.13088732000486122,0.13738072380869618,0.5598666515730576,0,0
1,0.99999595,0.9999985887952267,0.9998163232507906,0.0008164910413490097,0.002544493458835217,1,1
1,0.99980474,0.99990549110104,0.99853735855306,0.0031554928880245378,0.01588260054903252,1,1
0,0.013871564,0.00969625316033813,0.05881972609720508,0.0716080300762997,0.3227417454506839,0,0
1,0.99997914,0.9999916513080517,0.9997857784273728,0.0004894934344095162,0.0029200861992614057,1,1
1,0.93530667,0.9477574603247652,0.8540731194665127,0.12204462993876375,0.5995527504391952,1,1
0,0.06756703,0.0547999297239704,0.19049337665793342,0.15439265572843275,0.7025024254244322,0,0
0,0.0024406486,0.0014656300228020355,0.007313235418170661,0.010447438009798929,0.06240150658249842,0,0
0,0.17535901,0.15714012110711145,0.13499994529233159,0.12611987589201287,0.570992813474504,0,0
0,0.005482949,0.0035313634755121423,0.10614394037873927,0.12465931276732099,0.4881742168048046,0,0
0,0.04561821,0.035600583465648795,0.03984866188001374,0.038303149654432454,0.24159787871716143,0,0
0,0.9496812,0.960356655033554,0.9064027989152543,0.12454927074983523,0.4483641767224826,1,1
1,0.9820066,0.9871243347102326,0.9067711759894499,0.08194309336527128,0.4471563600439859,1,1
1,0.9999544,0.9999804981681111,0.999820249996872,0.0006377887623714454,0.0024957004437833846,1,1
0,0.9378332,0.9499957915334978,0.7089597944225923,0.20393859495460198,0.8700611605793629,1,1
1,0.9998923,0.9999504425409286,0.9734127194770354,0.09508278456217868,0.17697727771111113,1,1
0,0.002337788,0.001398671491032122,0.008517604401040988,0.01239168312091578,0.07079721987877481,0,0
1,0.97993684,0.9855004888791731,0.9180407836872544,0.10456924936537913,0.40904526616253056,1,1
1,0.9999256,0.9999668336421935,0.9991369612589799,0.002246084983175502,0.01002882031941094,1,1
1,0.9999633,0.9999845830730406,0.9991842938780805,0.0022625541967362943,0.009545204914980834,1,1
1,0.9999771,0.9999907678355817,0.999483251849407,0.0017946036787733503,0.006387303383157091,1,1
1,0.9992411,0.9995876651789629,0.9979035631021665,0.004778756112284276,0.02167511685607099,1,1
1,0.97875506,0.9845660073591106,0.9509501674358839,0.08191839353652602,0.2823469212179793,1,1
1,0.9999877,0.9999953026387508,0.9998732773844694,0.0005138734452885164,0.0018233663466203382,1,1
0,0.00058589363,0.00031139152334050434,0.000610190018383101,0.0008874518367343923,0.0073959353983413445,0,0
0,0.97408444,0.9808257642325746,0.9189078065406581,0.1001157553686629,0.40601595838872995,1,1
1,0.9999984,0.9999994819674755,0.9999284896123194,0.00015002944226641336,0.0010879684135858942,1,1
1,0.999978,0.999991158459323,0.9995881247322346,0.0012291004492866872,0.005225833353411916,1,1
0,0.06402605,0.05165044120195034,0.14571483647155997,0.15721556123449765,0.5990119656275692,0,0
0,0.82884353,0.847030287544254,0.7302965097620442,0.24707599338751887,0.8410388415258112,1,1
0,0.25693402,0.24008647032249222,0.37200354757331683,0.2439163052384846,0.9521980566437099,0,0
1,0.99971926,0.9998598578737653,0.9987246648679262,0.0020165263691464277,0.014100975721411405,1,1
1,0.81701404,0.8352620702425517,0.6939704102264115,0.20122150899759506,0.8885370136120044,1,1
1,0.9699303,0.9774427282010237,0.9671422224499507,0.04383413831961777,0.20852697313326657,1,1
1,0.99995136,0.9999790836126444,0.9994595196850922,0.0010089494517398427,0.006645624561424746,1,1
1,0.99921894,0.9995745732133773,0.9934752752638254,0.01119611117718047,0.056751047181421134,1,1
1,0.99994236,0.9999748527152522,0.9995732344804444,0.0008528493631839326,0.005392889025646729,1,1
1,0.99999917,0.9999997459710029,0.9998441096427613,0.0007934598001348455,0.002196458229895048,1,1
0,0.040757746,0.031465590227906105,0.0820573630141708,0.0678191724249192,0.40938727204068237,0,0
1,0.9999726,0.9999887695886529,0.9970076274073019,0.013844520468274507,0.029400146922680746,1,1
1,0.6361171,0.6470307995157014,0.5467713474514749,0.255163861712832,0.9936788015623511,1,1
0,0.22123714,0.20336254229942857,0.19912192930015793,0.15732436689710833,0.7201684736332059,0,0
1,0.99994695,0.9999770178195747,0.9992493847105292,0.0031192597100708104,0.00887361793920908,1,1
0,0.9545698,0.9645602585532745,0.8489151679155963,0.1321311814808152,0.6125484523070203,1,1
1,0.87928456,0.896079599097946,0.6794624772578055,0.2423226929652292,0.9049650362066015,1,1
1,0.9980219,0.9988333938398085,0.9932986522791422,0.012917748389785924,0.058028197753573436,1,1
1,0.97363055,0.9804585732611243,0.9527295467369321,0.06042753189396931,0.2746868905791896,1,1
1,0.9999044,0.9999564533851567,0.9938882720308,0.013749171483920939,0.053737253914520874,1,1
1,0.99999845,0.9999995027511063,0.9999674557199546,0.000187980543626933,0.0005320959859865604,1,1
0,0.97177094,0.9789477992293174,0.8667058348808915,0.176190956596462,0.5664037255739118,1,1
0,0.008024313,0.005343250436132657,0.011649291408126919,0.01589274423496063,0.09153865264306221,0,0
0,0.13804539,0.12054693091756344,0.18620722263200093,0.14391957064682986,0.6934694915362295,0,0
1,0.99986213,0.9999352194156492,0.9990737049356597,0.0026926026184517582,0.010669314063607268,1,1
