threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,false_negatives,false_positives,tp,tn
0.1,0.7788461538461539,0.7068376068376069,0.7404580152671756,0.9948717948717949,0.4188034188034188,2,136,388,98
0.15000000000000002,0.8125,0.7517094017094017,0.7713717693836978,0.9948717948717949,0.5085470085470085,2,115,388,119
0.2,0.8333333333333334,0.7803418803418803,0.7930327868852459,0.9923076923076923,0.5683760683760684,3,101,387,133
0.25,0.8541666666666666,0.8081196581196581,0.8147368421052632,0.9923076923076923,0.6239316239316239,3,88,387,146
0.30000000000000004,0.8637820512820513,0.8217948717948718,0.8265524625267666,0.9897435897435898,0.6538461538461539,4,81,386,153
0.35,0.8733974358974359,0.8346153846153846,0.8373101952277657,0.9897435897435898,0.6794871794871795,4,75,386,159
0.4,0.8878205128205128,0.8555555555555556,0.8571428571428571,0.9846153846153847,0.7264957264957265,6,64,384,170
0.45000000000000007,0.8942307692307693,0.8641025641025641,0.8648648648648649,0.9846153846153847,0.7435897435897436,6,60,384,174
0.5,0.9006410256410257,0.8735042735042735,0.8744292237442922,0.982051282051282,0.7649572649572649,7,55,383,179
0.55,0.8974358974358975,0.8726495726495727,0.8773148148148148,0.9717948717948718,0.7735042735042735,11,53,379,181
0.6,0.8990384615384616,0.8756410256410256,0.8811188811188811,0.9692307692307692,0.782051282051282,12,51,378,183
0.65,0.9022435897435898,0.8816239316239316,0.8888888888888888,0.9641025641025641,0.7991452991452992,14,47,376,187
0.7000000000000001,0.8990384615384616,0.8807692307692307,0.8920863309352518,0.9538461538461539,0.8076923076923077,18,45,372,189
0.75,0.9086538461538461,0.8952991452991452,0.9090909090909091,0.9487179487179487,0.8418803418803419,20,37,370,197
0.8,0.905448717948718,0.8978632478632479,0.9211195928753181,0.9282051282051282,0.8675213675213675,28,31,362,203
0.85,0.9006410256410257,0.8965811965811965,0.9270833333333334,0.9128205128205128,0.8803418803418803,34,28,356,206
0.9,0.8894230769230769,0.8918803418803418,0.9373297002724795,0.882051282051282,0.9017094017094017,46,23,344,211
