bin,lo,hi,count,confidence,empirical_rate,gap,signed_gap,ece_contribution
1,0.0,0.1,112,0.024892330723170226,0.008928571428571428,0.015963759294598798,0.015963759294598798,0.002865290129799784
2,0.1,0.2,15,0.1499454955259959,0.13333333333333333,0.016612162192662566,0.016612162192662566,0.00039933082193900404
3,0.2,0.30000000000000004,18,0.24417349861727822,0.05555555555555555,0.18861794306172266,0.18861794306172266,0.0054409022037035385
4,0.30000000000000004,0.4,10,0.3500411570072174,0.1,0.2500411570072174,0.2500411570072174,0.004007069823833612
5,0.4,0.5,8,0.4550451338291168,0.0,0.4550451338291168,0.4550451338291168,0.005833911972168164
6,0.5,0.6000000000000001,10,0.5403222560882568,0.3,0.2403222560882568,0.2403222560882568,0.0038513182065425767
7,0.6000000000000001,0.7000000000000001,8,0.6361128613352776,0.125,0.5111128613352776,0.5111128613352776,0.006552728991477917
8,0.7000000000000001,0.8,9,0.7373733851644728,0.5555555555555556,0.18181782960891724,0.18181782960891724,0.0026223725424363064
9,0.8,0.9,23,0.8489440368569415,0.30434782608695654,0.544596210769985,0.544596210769985,0.020073257768765472
10,0.9,1.0,411,0.9928908957182055,0.8978102189781022,0.09508067674010334,0.09508067674010334,0.0626252534297796
